date,store,city,category,channel,units_sold,revenue_sar,returns_units,foot_traffic,csat
2025-01-04,Riyadh-Olaya,Riyadh,Electronics,In-Store,60,52463.21,2,1275.0,4.11
2025-01-04,Riyadh-Olaya,Riyadh,Electronics,Online,10,8321.96,1,,2.84
2025-01-04,Riyadh-Olaya,Riyadh,Apparel,In-Store,47,6660.94,2,1275.0,4.33
2025-01-04,Riyadh-Olaya,Riyadh,Apparel,Online,14,1790.17,1,,4.11
2025-01-04,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,51,10634.91,1,1275.0,3.9
2025-01-04,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,14,3119.12,1,,3.8
2025-01-04,Riyadh-Olaya,Riyadh,Beauty,In-Store,86,7760.14,2,1275.0,4.19
2025-01-04,Riyadh-Olaya,Riyadh,Beauty,Online,12,1091.17,1,,3.41
2025-01-04,Riyadh-Olaya,Riyadh,Groceries,In-Store,56,2581.77,1,1275.0,4.95
2025-01-04,Riyadh-Olaya,Riyadh,Groceries,Online,10,476.89,0,,3.92
2025-01-05,Riyadh-Olaya,Riyadh,Electronics,In-Store,53,42866.14,3,963.0,4.03
2025-01-05,Riyadh-Olaya,Riyadh,Electronics,Online,9,6928.91,0,,3.95
2025-01-05,Riyadh-Olaya,Riyadh,Apparel,In-Store,64,9205.44,3,963.0,4.14
2025-01-05,Riyadh-Olaya,Riyadh,Apparel,Online,8,1152.45,0,,3.86
2025-01-05,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,68,14823.8,3,963.0,4.46
2025-01-05,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,11,2285.92,0,,3.47
2025-01-05,Riyadh-Olaya,Riyadh,Beauty,In-Store,55,5553.76,2,963.0,3.76
2025-01-05,Riyadh-Olaya,Riyadh,Beauty,Online,9,920.21,0,,3.7
2025-01-05,Riyadh-Olaya,Riyadh,Groceries,In-Store,47,1941.98,2,963.0,4.29
2025-01-05,Riyadh-Olaya,Riyadh,Groceries,Online,8,385.35,0,,4.1
2025-01-06,Riyadh-Olaya,Riyadh,Electronics,In-Store,54,45894.58,1,961.0,4.16
2025-01-06,Riyadh-Olaya,Riyadh,Electronics,Online,12,9529.32,0,,3.95
2025-01-06,Riyadh-Olaya,Riyadh,Apparel,In-Store,51,7817.52,1,961.0,3.66
2025-01-06,Riyadh-Olaya,Riyadh,Apparel,Online,9,1164.28,0,,3.49
2025-01-06,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,61,12916.36,1,961.0,4.14
2025-01-06,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,12,2654.19,0,,3.42
2025-01-06,Riyadh-Olaya,Riyadh,Beauty,In-Store,62,6444.53,1,961.0,4.43
2025-01-06,Riyadh-Olaya,Riyadh,Beauty,Online,8,761.17,0,,3.59
2025-01-06,Riyadh-Olaya,Riyadh,Groceries,In-Store,41,1802.92,2,961.0,3.93
2025-01-06,Riyadh-Olaya,Riyadh,Groceries,Online,6,245.43,0,,3.11
2025-01-07,Riyadh-Olaya,Riyadh,Electronics,In-Store,69,57554.58,3,944.0,4.79
2025-01-07,Riyadh-Olaya,Riyadh,Electronics,Online,6,5176.7,0,,3.99
2025-01-07,Riyadh-Olaya,Riyadh,Apparel,In-Store,64,9704.41,2,944.0,4.91
2025-01-07,Riyadh-Olaya,Riyadh,Apparel,Online,12,1804.44,1,,3.45
2025-01-07,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,58,11871.31,1,944.0,3.87
2025-01-07,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,10,2026.49,0,,3.69
2025-01-07,Riyadh-Olaya,Riyadh,Beauty,In-Store,49,5090.36,1,944.0,3.63
2025-01-07,Riyadh-Olaya,Riyadh,Beauty,Online,6,619.87,0,,3.42
2025-01-07,Riyadh-Olaya,Riyadh,Groceries,In-Store,38,1742.18,1,944.0,4.12
2025-01-07,Riyadh-Olaya,Riyadh,Groceries,Online,5,220.11,0,,3.76
2025-01-08,Riyadh-Olaya,Riyadh,Electronics,In-Store,69,63767.77,3,957.0,4.71
2025-01-08,Riyadh-Olaya,Riyadh,Electronics,Online,9,7492.89,0,,3.51
2025-01-08,Riyadh-Olaya,Riyadh,Apparel,In-Store,64,8504.87,1,957.0,3.47
2025-01-08,Riyadh-Olaya,Riyadh,Apparel,Online,11,1520.3,0,,3.61
2025-01-08,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,39,7389.56,1,957.0,4.26
2025-01-08,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,12,2477.6,1,,3.58
2025-01-08,Riyadh-Olaya,Riyadh,Beauty,In-Store,33,3196.8,0,957.0,4.28
2025-01-08,Riyadh-Olaya,Riyadh,Beauty,Online,6,555.72,0,,3.42
2025-01-08,Riyadh-Olaya,Riyadh,Groceries,In-Store,68,2977.79,1,957.0,3.74
2025-01-08,Riyadh-Olaya,Riyadh,Groceries,Online,5,219.82,0,,3.75
2025-01-09,Riyadh-Olaya,Riyadh,Electronics,In-Store,53,46168.75,2,931.0,4.61
2025-01-09,Riyadh-Olaya,Riyadh,Electronics,Online,8,7012.55,0,,3.95
2025-01-09,Riyadh-Olaya,Riyadh,Apparel,In-Store,66,9694.43,3,931.0,4.46
2025-01-09,Riyadh-Olaya,Riyadh,Apparel,Online,12,1555.02,0,,4.22
2025-01-09,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,47,10240.41,1,931.0,4.18
2025-01-09,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,11,2111.62,1,,3.45
2025-01-09,Riyadh-Olaya,Riyadh,Beauty,In-Store,41,4068.15,1,931.0,4.33
2025-01-09,Riyadh-Olaya,Riyadh,Beauty,Online,7,708.64,0,,3.85
2025-01-09,Riyadh-Olaya,Riyadh,Groceries,In-Store,41,1668.32,2,931.0,4.74
2025-01-09,Riyadh-Olaya,Riyadh,Groceries,Online,12,509.0,0,,2.82
2025-01-10,Riyadh-Olaya,Riyadh,Electronics,In-Store,64,50093.81,2,1296.0,4.19
2025-01-10,Riyadh-Olaya,Riyadh,Electronics,Online,10,9196.1,0,,3.84
2025-01-10,Riyadh-Olaya,Riyadh,Apparel,In-Store,81,12208.42,2,1296.0,4.09
2025-01-10,Riyadh-Olaya,Riyadh,Apparel,Online,15,2222.7,1,,3.46
2025-01-10,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,53,11704.2,2,1296.0,4.26
2025-01-10,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,15,3100.37,0,,3.8
2025-01-10,Riyadh-Olaya,Riyadh,Beauty,In-Store,82,7908.99,3,1296.0,4.06
2025-01-10,Riyadh-Olaya,Riyadh,Beauty,Online,11,1060.77,0,,3.48
2025-01-10,Riyadh-Olaya,Riyadh,Groceries,In-Store,95,4571.94,3,1296.0,4.73
2025-01-10,Riyadh-Olaya,Riyadh,Groceries,Online,17,748.88,1,,3.4
2025-01-11,Riyadh-Olaya,Riyadh,Electronics,In-Store,72,64980.18,3,1296.0,4.01
2025-01-11,Riyadh-Olaya,Riyadh,Electronics,Online,14,12207.35,0,,4.28
2025-01-11,Riyadh-Olaya,Riyadh,Apparel,In-Store,74,11316.68,2,1296.0,4.06
2025-01-11,Riyadh-Olaya,Riyadh,Apparel,Online,11,1583.88,1,,3.74
2025-01-11,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,61,12820.1,2,1296.0,4.17
2025-01-11,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,12,2507.52,0,,3.67
2025-01-11,Riyadh-Olaya,Riyadh,Beauty,In-Store,96,8780.74,5,1296.0,3.51
2025-01-11,Riyadh-Olaya,Riyadh,Beauty,Online,17,1506.5,1,,3.63
2025-01-11,Riyadh-Olaya,Riyadh,Groceries,In-Store,75,3515.98,3,1296.0,3.8
2025-01-11,Riyadh-Olaya,Riyadh,Groceries,Online,14,595.8,0,,4.07
2025-01-12,Riyadh-Olaya,Riyadh,Electronics,In-Store,65,52642.62,3,907.0,4.64
2025-01-12,Riyadh-Olaya,Riyadh,Electronics,Online,11,10218.44,0,,3.55
2025-01-12,Riyadh-Olaya,Riyadh,Apparel,In-Store,39,5308.74,0,907.0,4.21
2025-01-12,Riyadh-Olaya,Riyadh,Apparel,Online,5,760.66,0,,3.69
2025-01-12,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,48,10569.99,2,907.0,4.16
2025-01-12,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,9,1737.85,0,,4.35
2025-01-12,Riyadh-Olaya,Riyadh,Beauty,In-Store,42,3849.91,1,907.0,3.48
2025-01-12,Riyadh-Olaya,Riyadh,Beauty,Online,7,709.06,0,,3.67
2025-01-12,Riyadh-Olaya,Riyadh,Groceries,In-Store,32,1545.28,1,907.0,4.52
2025-01-12,Riyadh-Olaya,Riyadh,Groceries,Online,12,509.54,1,,2.87
2025-01-13,Riyadh-Olaya,Riyadh,Electronics,In-Store,59,53131.51,1,947.0,4.52
2025-01-13,Riyadh-Olaya,Riyadh,Electronics,Online,6,4883.64,0,,3.57
2025-01-13,Riyadh-Olaya,Riyadh,Apparel,In-Store,55,8141.2,3,947.0,3.6
2025-01-13,Riyadh-Olaya,Riyadh,Apparel,Online,13,1801.26,0,,3.8
2025-01-13,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,55,11995.45,2,947.0,4.24
2025-01-13,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,10,2277.08,0,,4.01
2025-01-13,Riyadh-Olaya,Riyadh,Beauty,In-Store,52,5246.49,1,947.0,4.05
2025-01-13,Riyadh-Olaya,Riyadh,Beauty,Online,9,919.41,0,,3.2
2025-01-13,Riyadh-Olaya,Riyadh,Groceries,In-Store,60,2764.76,3,947.0,3.42
2025-01-13,Riyadh-Olaya,Riyadh,Groceries,Online,6,272.79,0,,4.13
2025-01-14,Riyadh-Olaya,Riyadh,Electronics,In-Store,37,31124.72,1,970.0,3.73
2025-01-14,Riyadh-Olaya,Riyadh,Electronics,Online,10,8113.77,1,,3.9
2025-01-14,Riyadh-Olaya,Riyadh,Apparel,In-Store,37,5023.52,2,970.0,4.3
2025-01-14,Riyadh-Olaya,Riyadh,Apparel,Online,8,1215.55,0,,3.16
2025-01-14,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,34,7694.76,1,970.0,3.89
2025-01-14,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,11,2536.13,1,,3.72
2025-01-14,Riyadh-Olaya,Riyadh,Beauty,In-Store,70,7297.79,2,970.0,4.24
2025-01-14,Riyadh-Olaya,Riyadh,Beauty,Online,12,1116.26,0,,3.7
2025-01-14,Riyadh-Olaya,Riyadh,Groceries,In-Store,34,1382.72,1,970.0,4.32
2025-01-14,Riyadh-Olaya,Riyadh,Groceries,Online,11,540.26,1,,3.36
2025-01-15,Riyadh-Olaya,Riyadh,Electronics,In-Store,61,52756.01,1,954.0,3.73
2025-01-15,Riyadh-Olaya,Riyadh,Electronics,Online,11,8793.39,1,,4.38
2025-01-15,Riyadh-Olaya,Riyadh,Apparel,In-Store,32,4535.13,1,954.0,3.65
2025-01-15,Riyadh-Olaya,Riyadh,Apparel,Online,7,942.1,0,,3.24
2025-01-15,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,38,7889.49,1,954.0,4.41
2025-01-15,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,6,1153.99,0,,2.98
2025-01-15,Riyadh-Olaya,Riyadh,Beauty,In-Store,38,3303.87,1,954.0,3.38
2025-01-15,Riyadh-Olaya,Riyadh,Beauty,Online,9,880.26,0,,3.46
2025-01-15,Riyadh-Olaya,Riyadh,Groceries,In-Store,36,1543.24,0,954.0,4.35
2025-01-15,Riyadh-Olaya,Riyadh,Groceries,Online,12,563.38,0,,3.84
2025-01-16,Riyadh-Olaya,Riyadh,Electronics,In-Store,47,38860.12,2,914.0,4.8
2025-01-16,Riyadh-Olaya,Riyadh,Electronics,Online,7,6171.08,0,,3.79
2025-01-16,Riyadh-Olaya,Riyadh,Apparel,In-Store,65,8396.26,1,914.0,4.46
2025-01-16,Riyadh-Olaya,Riyadh,Apparel,Online,9,1380.99,1,,3.33
2025-01-16,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,60,13097.49,1,914.0,3.59
2025-01-16,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,7,1428.53,0,,3.62
2025-01-16,Riyadh-Olaya,Riyadh,Beauty,In-Store,63,6244.82,3,914.0,4.02
2025-01-16,Riyadh-Olaya,Riyadh,Beauty,Online,8,710.77,0,,3.8
2025-01-16,Riyadh-Olaya,Riyadh,Groceries,In-Store,60,2934.25,1,914.0,3.84
2025-01-16,Riyadh-Olaya,Riyadh,Groceries,Online,6,271.96,0,,3.5
2025-01-17,Riyadh-Olaya,Riyadh,Electronics,In-Store,62,51113.67,3,1290.0,3.62
2025-01-17,Riyadh-Olaya,Riyadh,Electronics,Online,12,9409.94,0,,4.18
2025-01-17,Riyadh-Olaya,Riyadh,Apparel,In-Store,96,13099.1,5,1290.0,3.17
2025-01-17,Riyadh-Olaya,Riyadh,Apparel,Online,10,1336.67,0,,4.15
2025-01-17,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,95,19411.68,4,1290.0,3.79
2025-01-17,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,10,2253.71,0,,4.04
2025-01-17,Riyadh-Olaya,Riyadh,Beauty,In-Store,46,4327.9,2,1290.0,3.93
2025-01-17,Riyadh-Olaya,Riyadh,Beauty,Online,16,1449.32,1,,3.59
2025-01-17,Riyadh-Olaya,Riyadh,Groceries,In-Store,57,2390.31,2,1290.0,4.79
2025-01-17,Riyadh-Olaya,Riyadh,Groceries,Online,11,529.8,0,,4.37
2025-01-18,Riyadh-Olaya,Riyadh,Electronics,In-Store,86,73126.06,4,1277.0,3.98
2025-01-18,Riyadh-Olaya,Riyadh,Electronics,Online,14,11745.68,0,,3.84
2025-01-18,Riyadh-Olaya,Riyadh,Apparel,In-Store,84,12464.49,2,1277.0,3.95
2025-01-18,Riyadh-Olaya,Riyadh,Apparel,Online,16,2126.2,1,,3.63
2025-01-18,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,54,11057.54,1,1277.0,4.37
2025-01-18,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,15,2853.25,1,,3.65
2025-01-18,Riyadh-Olaya,Riyadh,Beauty,In-Store,53,5072.25,2,1277.0,4.57
2025-01-18,Riyadh-Olaya,Riyadh,Beauty,Online,9,924.97,0,,3.48
2025-01-18,Riyadh-Olaya,Riyadh,Groceries,In-Store,61,2790.19,2,1277.0,3.53
2025-01-18,Riyadh-Olaya,Riyadh,Groceries,Online,9,368.17,0,,4.09
2025-01-19,Riyadh-Olaya,Riyadh,Electronics,In-Store,55,47596.54,2,951.0,4.67
2025-01-19,Riyadh-Olaya,Riyadh,Electronics,Online,8,6227.84,0,,4.45
2025-01-19,Riyadh-Olaya,Riyadh,Apparel,In-Store,34,4383.25,1,951.0,4.04
2025-01-19,Riyadh-Olaya,Riyadh,Apparel,Online,8,1174.16,0,,4.04
2025-01-19,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,51,9799.61,1,951.0,3.81
2025-01-19,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,12,2296.3,1,,3.32
2025-01-19,Riyadh-Olaya,Riyadh,Beauty,In-Store,55,4755.88,3,951.0,4.19
2025-01-19,Riyadh-Olaya,Riyadh,Beauty,Online,10,957.34,1,,2.96
2025-01-19,Riyadh-Olaya,Riyadh,Groceries,In-Store,71,3023.84,3,951.0,4.64
2025-01-19,Riyadh-Olaya,Riyadh,Groceries,Online,9,415.34,0,,3.08
2025-01-20,Riyadh-Olaya,Riyadh,Electronics,In-Store,35,29625.17,1,954.0,3.65
2025-01-20,Riyadh-Olaya,Riyadh,Electronics,Online,10,8788.86,0,,3.98
2025-01-20,Riyadh-Olaya,Riyadh,Apparel,In-Store,34,4852.5,0,954.0,3.62
2025-01-20,Riyadh-Olaya,Riyadh,Apparel,Online,9,1247.84,0,,3.43
2025-01-20,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,41,8799.37,1,954.0,3.6
2025-01-20,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,8,1619.05,0,,3.11
2025-01-20,Riyadh-Olaya,Riyadh,Beauty,In-Store,56,5520.56,1,954.0,3.78
2025-01-20,Riyadh-Olaya,Riyadh,Beauty,Online,7,641.95,0,,3.55
2025-01-20,Riyadh-Olaya,Riyadh,Groceries,In-Store,44,1820.94,1,954.0,4.48
2025-01-20,Riyadh-Olaya,Riyadh,Groceries,Online,9,420.26,0,,3.81
2025-01-21,Riyadh-Olaya,Riyadh,Electronics,In-Store,67,52288.91,3,916.0,4.33
2025-01-21,Riyadh-Olaya,Riyadh,Electronics,Online,10,8319.32,0,,3.97
2025-01-21,Riyadh-Olaya,Riyadh,Apparel,In-Store,31,4655.99,1,916.0,2.99
2025-01-21,Riyadh-Olaya,Riyadh,Apparel,Online,9,1380.88,0,,3.62
2025-01-21,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,46,10215.29,2,916.0,3.89
2025-01-21,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,5,1081.07,0,,3.25
2025-01-21,Riyadh-Olaya,Riyadh,Beauty,In-Store,55,5167.42,1,916.0,4.3
2025-01-21,Riyadh-Olaya,Riyadh,Beauty,Online,9,811.85,0,,4.12
2025-01-21,Riyadh-Olaya,Riyadh,Groceries,In-Store,49,2096.29,2,916.0,4.52
2025-01-21,Riyadh-Olaya,Riyadh,Groceries,Online,11,512.55,1,,3.74
2025-01-22,Riyadh-Olaya,Riyadh,Electronics,In-Store,47,37148.7,2,919.0,4.04
2025-01-22,Riyadh-Olaya,Riyadh,Electronics,Online,12,9834.83,1,,3.33
2025-01-22,Riyadh-Olaya,Riyadh,Apparel,In-Store,67,10310.12,1,919.0,4.33
2025-01-22,Riyadh-Olaya,Riyadh,Apparel,Online,13,1990.47,1,,3.74
2025-01-22,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,31,6183.5,1,919.0,3.84
2025-01-22,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,8,1767.77,0,,3.6
2025-01-22,Riyadh-Olaya,Riyadh,Beauty,In-Store,64,5799.76,2,919.0,4.21
2025-01-22,Riyadh-Olaya,Riyadh,Beauty,Online,6,575.8,0,,3.87
2025-01-22,Riyadh-Olaya,Riyadh,Groceries,In-Store,37,1747.84,0,919.0,3.61
2025-01-22,Riyadh-Olaya,Riyadh,Groceries,Online,7,320.21,0,,3.68
2025-01-23,Riyadh-Olaya,Riyadh,Electronics,In-Store,61,52299.58,2,985.0,3.73
2025-01-23,Riyadh-Olaya,Riyadh,Electronics,Online,12,10014.75,1,,4.2
2025-01-23,Riyadh-Olaya,Riyadh,Apparel,In-Store,48,6182.96,1,985.0,4.73
2025-01-23,Riyadh-Olaya,Riyadh,Apparel,Online,8,1160.81,0,,3.74
2025-01-23,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,50,10519.0,1,985.0,4.29
2025-01-23,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,13,2900.7,0,,3.28
2025-01-23,Riyadh-Olaya,Riyadh,Beauty,In-Store,47,4530.05,1,985.0,3.47
2025-01-23,Riyadh-Olaya,Riyadh,Beauty,Online,9,930.91,0,,3.45
2025-01-23,Riyadh-Olaya,Riyadh,Groceries,In-Store,53,2542.93,2,985.0,4.36
2025-01-23,Riyadh-Olaya,Riyadh,Groceries,Online,8,376.98,0,,3.62
2025-01-24,Riyadh-Olaya,Riyadh,Electronics,In-Store,87,71811.2,3,1267.0,4.4
2025-01-24,Riyadh-Olaya,Riyadh,Electronics,Online,10,9195.53,1,,3.14
2025-01-24,Riyadh-Olaya,Riyadh,Apparel,In-Store,79,11469.28,3,1267.0,3.91
2025-01-24,Riyadh-Olaya,Riyadh,Apparel,Online,9,1275.78,0,,4.19
2025-01-24,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,78,16243.04,4,1267.0,4.51
2025-01-24,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,8,1770.49,0,,4.28
2025-01-24,Riyadh-Olaya,Riyadh,Beauty,In-Store,49,4491.14,2,1267.0,4.47
2025-01-24,Riyadh-Olaya,Riyadh,Beauty,Online,10,1001.15,0,,4.6
2025-01-24,Riyadh-Olaya,Riyadh,Groceries,In-Store,55,2569.0,1,1267.0,4.61
2025-01-24,Riyadh-Olaya,Riyadh,Groceries,Online,14,652.5,0,,3.7
2025-01-25,Riyadh-Olaya,Riyadh,Electronics,In-Store,81,73603.46,2,1259.0,4.04
2025-01-25,Riyadh-Olaya,Riyadh,Electronics,Online,15,13944.75,1,,3.91
2025-01-25,Riyadh-Olaya,Riyadh,Apparel,In-Store,86,10892.62,1,1259.0,4.3
2025-01-25,Riyadh-Olaya,Riyadh,Apparel,Online,13,1938.26,0,,3.3
2025-01-25,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,94,18961.35,3,1259.0,3.3
2025-01-25,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,17,3343.48,1,,3.46
2025-01-25,Riyadh-Olaya,Riyadh,Beauty,In-Store,63,5693.91,2,1259.0,3.75
2025-01-25,Riyadh-Olaya,Riyadh,Beauty,Online,11,1046.19,1,,4.61
2025-01-25,Riyadh-Olaya,Riyadh,Groceries,In-Store,72,3163.9,4,1259.0,3.96
2025-01-25,Riyadh-Olaya,Riyadh,Groceries,Online,8,389.4,0,,3.86
2025-01-26,Riyadh-Olaya,Riyadh,Electronics,In-Store,45,37138.17,2,951.0,4.43
2025-01-26,Riyadh-Olaya,Riyadh,Electronics,Online,7,5611.66,0,,4.24
2025-01-26,Riyadh-Olaya,Riyadh,Apparel,In-Store,46,6797.25,2,951.0,4.16
2025-01-26,Riyadh-Olaya,Riyadh,Apparel,Online,12,1600.9,0,,3.29
2025-01-26,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,41,8222.92,1,951.0,4.08
2025-01-26,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,12,2668.58,0,,4.26
2025-01-26,Riyadh-Olaya,Riyadh,Beauty,In-Store,60,6110.09,2,951.0,3.64
2025-01-26,Riyadh-Olaya,Riyadh,Beauty,Online,7,702.48,0,,3.9
2025-01-26,Riyadh-Olaya,Riyadh,Groceries,In-Store,41,1672.71,1,951.0,4.14
2025-01-26,Riyadh-Olaya,Riyadh,Groceries,Online,6,271.09,0,,3.75
2025-01-27,Riyadh-Olaya,Riyadh,Electronics,In-Store,34,28533.19,1,955.0,3.25
2025-01-27,Riyadh-Olaya,Riyadh,Electronics,Online,6,4794.52,0,,3.64
2025-01-27,Riyadh-Olaya,Riyadh,Apparel,In-Store,42,5755.64,0,955.0,3.92
2025-01-27,Riyadh-Olaya,Riyadh,Apparel,Online,10,1432.28,0,,3.56
2025-01-27,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,56,10665.29,2,955.0,4.41
2025-01-27,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,7,1446.34,0,,3.29
2025-01-27,Riyadh-Olaya,Riyadh,Beauty,In-Store,43,3809.59,2,955.0,4.21
2025-01-27,Riyadh-Olaya,Riyadh,Beauty,Online,12,1180.44,0,,3.99
2025-01-27,Riyadh-Olaya,Riyadh,Groceries,In-Store,54,2476.65,3,955.0,4.19
2025-01-27,Riyadh-Olaya,Riyadh,Groceries,Online,11,447.18,0,,3.15
2025-01-28,Riyadh-Olaya,Riyadh,Electronics,In-Store,52,47881.74,2,950.0,4.78
2025-01-28,Riyadh-Olaya,Riyadh,Electronics,Online,11,10244.55,1,,3.29
2025-01-28,Riyadh-Olaya,Riyadh,Apparel,In-Store,37,4960.32,0,950.0,4.02
2025-01-28,Riyadh-Olaya,Riyadh,Apparel,Online,12,1559.28,0,,3.53
2025-01-28,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,59,13059.62,2,950.0,4.03
2025-01-28,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,13,2937.6,0,,3.45
2025-01-28,Riyadh-Olaya,Riyadh,Beauty,In-Store,62,6369.79,2,950.0,4.04
2025-01-28,Riyadh-Olaya,Riyadh,Beauty,Online,9,832.81,0,,3.86
2025-01-28,Riyadh-Olaya,Riyadh,Groceries,In-Store,57,2657.41,2,950.0,4.2
2025-01-28,Riyadh-Olaya,Riyadh,Groceries,Online,6,264.33,0,,3.6
2025-01-29,Riyadh-Olaya,Riyadh,Electronics,In-Store,57,51205.21,3,958.0,4.67
2025-01-29,Riyadh-Olaya,Riyadh,Electronics,Online,12,11164.65,1,,4.04
